date,market,group,tariff,regulated,consumers,yearly_consumption,power,tou,incumbent,share,share_reg,share_others,year,quarter,retailer_type,contracted_power,energy_price,total_bill,energy_consumption,power_bill,energy_bill,gas_price,variable,retailing_cost,smartmeter,ordered_quarter,energy_price_lag,gas_price_lag,retailing_cost_lag
2019-06-28,ENDESA,EDP,2.1A,false,742,7149137,2.1,0,0,6.37017535410062e-5,0.002588420308977543,0.003162251199365798,2019,2,commercial,12.0,15.3466882,2075.414232166667,10000.0,540.7454121666666,1534.66882,14.987692307692306,cost_com,53.96070698317025,0.979333333333333,34,12.85167176,21.399111111111118,60.97532713086873
2019-09-28,ENDESA,EDP,2.1A,false,716,6782386,2.1,0,0,6.144218187709642e-5,0.0025169841293814455,0.003178946407314297,2019,3,commercial,12.0,15.127974631666666,2053.5415716666666,10000.0,540.7441085,1512.7974631666668,12.6529347826087,cost_com,50.99766192330744,0.981666666666667,35,12.357282162962962,14.987692307692306,53.96070698317025
2019-12-28,ENDESA,EDP,2.1A,false,653,5957010,2.1,0,0,5.6030975089984204e-5,0.002392256639370229,0.0031963397443751937,2019,4,commercial,12.0,14.481398125,1988.8839209999999,10000.0,540.7441085,1448.1398125000003,12.870326086956524,cost_com,47.115565525481394,0.986,36,12.767251565555556,12.6529347826087,50.99766192330744
2011-03-28,ENDESA,EDP,2.1DHA,false,75,1620737,2.1,1,0,6.564849641747402e-6,0.0015872055807174086,9.199542631302026e-5,2011,1,,,,,,,,24.218298267326727,,,,1,,,
2011-06-28,ENDESA,EDP,2.1DHA,false,74,1602164,2.1,1,0,6.46868300760892e-6,0.0014012566028644728,7.438985458750258e-5,2011,2,,,,,,,,24.724852532872333,,,,2,,24.218298267326727,
2011-09-28,ENDESA,EDP,2.1DHA,false,78,1583644,2.1,1,0,6.810861927674758e-6,0.001283148923425392,7.876150588157221e-5,2011,3,,,,,,,,23.921590159015903,,,,3,,24.724852532872333,
2011-12-28,ENDESA,EDP,2.1DHA,false,84,1627045,2.1,1,0,7.330346973247375e-6,0.001190046924692553,8.307726569680358e-5,2011,4,,,,,,,,24.7368278750952,,,,4,,23.921590159015903,
2012-03-28,ENDESA,EDP,2.1DHA,false,88,1620477,2.1,1,0,7.674950496569298e-6,0.0010986517205145846,8.686648516571613e-5,2012,1,,,,,,,,24.85431200812388,,,,5,,24.7368278750952,
2012-06-28,ENDESA,EDP,2.1DHA,false,87,1618105,2.1,1,0,7.5840634592587165e-6,0.0010153927721085693,8.56911997753025e-5,2012,2,,,,,,,,24.80399649339934,,,,6,,24.85431200812388,
2012-09-28,ENDESA,EDP,2.1DHA,false,86,1600308,2.1,1,0,7.492928766294506e-6,0.0009622314569180992,9.801796351257349e-5,2012,3,,,,,,,,25.03041228738258,,,,7,,24.80399649339934,
2012-12-28,ENDESA,EDP,2.1DHA,false,88,1570254,2.1,1,0,7.666341979660323e-6,0.0009164763366593932,0.00011229448649752451,2012,4,,,,,,,,28.37269306930692,,,,8,,25.03041228738258,
2013-03-28,ENDESA,EDP,2.1DHA,false,91,1634360,2.1,1,0,7.928104118484558e-6,0.0008800195571517859,0.0001300731807571148,2013,1,,,,,,,,29.174061269030133,,,,9,,28.37269306930692,
2013-06-28,ENDESA,EDP,2.1DHA,false,102,1845918,2.1,1,0,8.881324863800095e-6,0.0008285753667051146,0.0001563809750527938,2013,2,,,,,,,,27.464615384615392,,,,10,,29.174061269030133,
2013-09-28,ENDESA,EDP,2.1DHA,false,114,2261192,2.1,1,0,9.921904170071881e-6,0.000790096895227303,0.00017154450104571648,2013,3,,,,,,,,27.17554380438044,,,,11,,27.464615384615392,
2013-12-28,ENDESA,EDP,2.1DHA,false,116,2382690,2.1,1,0,1.0085200819822496e-5,0.0007531732301907094,0.00019396623300882752,2013,4,,,,,,,,29.133403249555723,cost_com,56.134488071754795,,12,,27.17554380438044,
2014-03-28,ENDESA,EDP,2.1DHA,false,112,2289617,2.1,1,0,9.732197724890235e-6,0.000722876364940731,0.00021853997569731197,2014,1,,,,,,,,26.22592808890263,cost_com,41.32708791676314,,13,,29.133403249555723,56.134488071754795
2014-06-28,ENDESA,EDP,2.1DHA,false,109,2190873,2.1,1,0,9.462300847865561e-6,0.000687796418510448,0.0003517545232619381,2014,2,,,,,,,,19.941854379284077,cost_com,51.3346609800098,,14,,26.22592808890263,41.32708791676314
2014-09-28,ENDESA,EDP,2.1DHA,false,100,2072089,2.1,1,0,8.676301004828448e-6,0.0006623488187086037,0.00040127892147331576,2014,3,,,,,,,,19.140629987998793,cost_com,62.559251009538215,,15,,19.941854379284077,51.3346609800098
2014-12-28,ENDESA,EDP,2.1DHA,false,106,1821262,2.1,1,0,9.191083227252915e-6,0.0006354853676654397,0.0004380504949441672,2014,4,,,,,,,,22.970609375,cost_com,63.01007042678492,,16,,19.140629987998793,62.559251009538215
2015-03-28,ENDESA,EDP,2.1DHA,false,115,1906430,2.1,1,0,9.968024311577904e-6,0.0006024153823084037,0.00046910389195008363,2015,1,,,,,,,,21.19644444444444,cost_com,60.74430593351563,,17,,22.970609375,63.01007042678492
2015-06-28,ENDESA,EDP,2.1DHA,false,113,1779696,2.1,1,0,9.7916679664456e-6,0.0005731158577882407,0.0005027544915160829,2015,2,,,,,,,,20.685174603174598,cost_com,61.12545415480955,,18,,21.19644444444444,60.74430593351563
2015-09-28,ENDESA,EDP,2.1DHA,false,110,1719213,2.1,1,0,9.525404513621588e-6,0.0004906449270379992,0.0005020754124543451,2015,3,,,,,,,,19.784681818181813,cost_com,66.4008429698653,0.42,19,,20.685174603174598,61.12545415480955
2015-12-28,ENDESA,EDP,2.1DHA,false,110,1711151,2.1,1,0,9.523693260541149e-6,0.00047202886960427584,0.0005575689508898636,2015,4,commercial,12.5,11.36234492,2259.909138,15000.0,555.5574,1704.351738,17.250215384615387,cost_com,61.91720304206288,0.47,20,,19.784681818181813,66.4008429698653
2016-03-28,ENDESA,EDP,2.1DHA,false,120,1739312,2.1,1,0,1.039228719085652e-5,0.0004555285885325441,0.0005968636943281928,2016,1,commercial,12.5,10.96497852,2200.307328,15000.0,555.56055,1644.746778,16.677032967032964,cost_com,41.07921404084841,0.526666666666667,21,9.33465676,17.250215384615387,61.91720304206288
2016-06-28,ENDESA,EDP,2.1DHA,false,133,1946504,2.1,1,0,1.1509353989479584e-5,0.00044038422896587674,0.0006536966920039759,2016,2,commercial,12.5,10.638021120000001,2151.263718,15000.0,555.56055,1595.703168,13.77505494505494,cost_com,38.340854277155344,0.58,22,9.03614716,16.677032967032964,41.07921404084841
2016-09-28,ENDESA,EDP,2.1DHA,false,148,2128241,2.1,1,0,1.2790824899311145e-5,0.0004265912952905393,0.0007140391575547884,2016,3,commercial,12.5,10.638021120000001,2151.263718,15000.0,555.56055,1595.703168,15.913043478260867,cost_com,48.9296041975602,0.63,23,8.660534960000001,13.77505494505494,38.340854277155344
2016-12-28,ENDESA,EDP,2.1DHA,false,155,2215651,2.1,1,0,1.3426395288322743e-5,0.0004161316320329191,0.0007658242628649121,2016,4,commercial,12.5,10.65374724,2153.622636,15000.0,555.56055,1598.062086,21.726630434782614,cost_com,64.79191103079087,0.706666666666667,24,8.660534960000001,15.913043478260867,48.9296041975602
